S. No.,text,task_1
716,"প্রকৃত TMC র নেতার মতোই কথা বলেছেন, রাজ্যের মন্ত্রীর মত নয়।",NOT
717,এবিপি আনন্দকে অনুরোধ করবো তোমরা এবার শোভন বৈশাখীর পর্ণ ছবি যদি একটু দেখাও তার আশায় বসে রইলাম,HOF
718,"শোভন বাবুর আর থাকলো না বোধ হয় ,,,,মদন বাবুর হয়ে যাবে মনে হয়,,,,,🙃🙃",NOT
719,"চপ আমাদের শিল্প, চাকরি আমাদের গল্প।",NOT
720,"রাজ্যবাসী চপ, ঘুগনী, আমদই, কাশফুলের বালিশ বেচবে আর ওনার পোষ্যরা জমি, বালি, গরু, কয়লা , এমনকি শিক্ষিত বেকারদের চাকরিটাও বেচবে। আমরা গর্বিত এমন দূরদর্শী মুখ্যমন্ত্রীকে পেয়ে।",NOT
721,"এই রকম রোগীদের যেখানে রাখা হয়, সেই হাসপাতালের জানালায় কোনো গ্ৰিল নেই কেনো ???? এই রকম খোলা জানালা ????",NOT
722,বৈশাখী বেহায়া। বেহায়া শোভন।,HOF
723,লজ্জা সরম নাই নির্লজ্জ মানুষ। প্রান খোলার সাথে অন্য কিছুও খুলে ফেলে।,HOF
724,এবিপি আনন্দ এগুলো নিয়ে ঘাটাঘাটি করা সংবাদ মাধ্যমের কালচার হয়ে দাঁড়িয়েছে সুস্থ প্রোগ্রাম বহন করার চেষ্টায় থাকুন কত টাকা খেয়েছেন মদনের কাছ থেকে আর শোভনের কাছ থেকে এবিপি আনন্দকে ধিক্কার এবিপি আনন্দ অনেকদিন আগে সম্প্রচার দেখা কমিয়ে দিয়েছি। বন্ধ করার কথা সিদ্ধান্ত নিচ্ছি আসলে সুমন বাবু একটা কিরে খুব ভদ্রলোক বলে পরিচয় দেয় আসলে ওনার এই কালচার পশ্চিমবঙ্গ বাংলায় বেশি বিক্রি হবে ওনার অনেক ছোট উনি তাই দেখেন আসলে অনেক এখনো সাংস্কৃতিবান লোক আছে যারা সুস্থ সমাজ পরিচালনা করছেন যেটা উনি দেখতে পাননি এবং অন্ধকার হয়ে বসে আছে।,NOT
725,"আর কিছু বলার নেই লজ্জা বাংলার সবার,ঝেড়ে ফেলে যত সত্বর সম্ভব",NOT
726,উফ্ফ এই ছাগল টা সরি রামছাগল টা কে আর সহ্য হয় না অশিক্ষিত একটা এ আবার শিক্ষা মন্ত্রী,HOF
727,"বিয়ের আগে বিধবা হয়েছে, এই প্রথম বার দেখলাম",HOF
728,"তোমার বক্তব্য খুব স্পষ্ট ও সুন্দর । কথাগুলো সত্য ও বাস্তব তো , তাই যাদের আঁতে ঘা লাগার তারা তো চিরবিড় করবেই। তোমার এতে বিচলিত হওয়ার কিছুই নেই।আর আমার বিশ্বাস তুমি তা হবেও না। তোমার সুন্দর ভবিষ্যৎ কামনা করি।",NOT
729,এ আবার শিক্ষা মন্ত্রী।😂😂😂😂,NOT
730,"উনি সুস্থ মস্তিস্ক নন দেখেই বোঝা যাচ্ছে,খুব মর্মান্তিক দৃশ্য, শেষ রক্ষা হলোনা, মৃত্যু ডাকলে ঠেকাবে কে.আর একটু প্রশাসন তৎপর হলে,রক্ষা পেলেও পেতে পারতো",NOT
731,এমন মানুষ গুলোর মুখ দেখলাম সকালে নিজের মুখে চর মারলাম,NOT
732,"জন্মের পর থেকেই তোলামূল দলে যোগ দাও, যোগ্যতা শুধু "" দেওয়াল লিখন"" জানলেই হবে।",HOF
733,দেয়াল লিখে - মিছিলে গেলেই চাকরি পাবেন ।,NOT
734,বরাহনন্দন তোর এত মাথা ব্যথা কেন?,HOF
735,ইয়ে মাথায় ওঠেনি।,HOF
736,এইভাবে তৃণমূল দুর্নীতি করে।,HOF
737,"চাকীর প্রার্থীরা যখুন ধর্মতলার গান্ধী পদদেশে বেসেছিল, তখুন য়ে পিঙ্কি, পাপু, কেজরি,কেউ য়েসে ছিলো কি, তখুন কোথায় মারাগেয়েছিলি???????????আরে হাঁ কটা, তুই ও কোথায় ছিলি, এখুন কুস্তি মারছিস, ওদের কি আছে, ওরা কংগ্রেস আপ থিকে টিকিট পিয়েযাবে.....",HOF
738,ওহ লাভলি রেজিস্টার মাতাল সবকটাই চোর এবিপি আনন্দ কে খুব ধন্যবাদ শারদীয়ার শুভেচ্ছা। এইসব চোরদের সব কিছু তুলে ধরার জন্য🙏🙏🙏,HOF
739,অশিক্ষিতের মতো কথা বলছেন।,HOF
740,"আপনার লজ্জা হয় না? আপনার constitution এর যে ছাত্র ছাত্রীরা দিন রাত পড়াশুনা করেও চাকরি পেলেন না, আপনি তো তাদেরও মন্ত্রী। তারা আপনার হয়ে দেয়াল না লিখে পড়াশুনা করে গেলো, তাদের মারাত্মক অপরাধটা একটু সেই ছাত্র ছাত্রীদের বুঝিয়ে বলতে পারবেন তো ব্রাত্য বসু???",HOF
741,যখন এসব খবর শুনি তখন খুব খারাপ লাগে পশ্চিমবাংলা কোথায় চলে গেছে কি হবে খুব দুঃখ লাগে মানুষ রাজনীতি করে কত নিচে নামতে পারে চোখেও দেখলাম বিশ্বাস করলাম।,NOT
742,"কিছু ইউটিউবের টাকা কামানোর জন্য মানুষের জীবনকে বিপদের মধ্যে ফেলছে, এই সব সাধারণ মানুষকে ভাতে মেরে কি হয় ভাই তোদের😡",NOT
743,"লেখার ক্যাপশন দেখে বোঝা যাচ্ছে,নিতান্তই তোষণকারী হিন্দু বিরোধী মনোভাব।",HOF
744,"এই শিল্প মেলার চক্করে আমি "" পিসি চপস "" দেখলাম !",HOF
745,এরাই ধর্ম ধর্ম নিয়ে লড়াই করার লোক এই মেয়েটার বড় একটা শাস্তি হওয়া দরকার 😡😡😡,HOF
746,এ তো দেখছি মদন শোভন গোপন,NOT
747,এমন প্রতিভা সারা দেশে একমাত্র এই মহিলার পক্ষ্যেই সম্ভব। এর জন্য দায়ী আমাদের রাজ্যের বহু শঙ্খক মানুষ। তারা যেমন বীজ রোপন করেছে ফসলতো তেমনই হবে।,NOT
748,এই বৈশাখী কলেজে পড়ান। student দের কাছে কি বার্তা বহন করছেন উনি।শোভন চট্টোপাধ্যায়ের ও বৈশাখী বন্দ্যোপাধ্যায়ের মধ্যে সম্পর্কের রসায়ন বুঝলামনা।,NOT
749,WB উন্নতি হয়ে গেছে। এখানে শিক্ষার দাম নেই । ধিক্কার এসব লোকজন কে.,NOT
750,এরা সবাই Congress party join করবে তাই সবাই মিলে আন্দোলন করছে মোদীজী র বিরুদ্ধে এত দিন কর মনে পড়ল তখন ঘটনা ঘটে ছিল তখন কেন আন্দোলন শুরু হলো না,NOT
751,"ভাই নেতাদের আবার কোটা কোনটা, কোথায় লেখা আছে একটু দেখবি।",NOT
752,পড়াশোনা সব বন্ধ করে দিয়েছে শুধু দেয়াল দেখতে হবে তাহলেই চাকরি হয়ে যাবে।,NOT
753,এদের নাটক দেখতে চাই না। গ্রামের পুজো গুলো দেখান।,NOT
754,বোকাদাচো ফুদ্দু মন্ত্রী।,HOF
755,এই সমস্ত রাসকেল দের নিযে মানুষ কে এন্টারটেইন করে!! ছি!ছিঃ। সুমনের স্ট্যান্ডারড এখন এত লো হয়ে গেছে,NOT
756,"বাংলায় একটা প্রবাদ আছে ""বেশি বড় হয়েও না ঝড়ে পড়ে যাবে"" সত্যিই তাই ❤️",HOF
757,নাম রাখুক পুন্ডরীকাক্ষ্য পুরকায়স্থ।,NOT
758,আমাদের দোষ এই সব আযোগ‍্য লোকেদের নির্বাচন করে মন্ত্রী পদে বসিয়েছি।যাদের ফুটপাতে হকারি করারও যোগ‍্যতা নেই।,HOF
759,অশিক্ষিত,NOT
760,ঈদ আগামীকাল মঙ্গলবার। আজ 30টি রোজা পূর্ণ হচ্ছে।,NOT
761,"এই মহিলাদের কাঁটাতারের ওপারে পাঠানোর ব্যবস্থা করা উচিত। Dear #AparnaSen যখন ভোটের পর হিংসা হচ্ছিল, ধর্ষণ হলো, air স্ট্রাইক এর ভিডিও চাইলো। প্রতিদিন পুলিশ হাত পেতে ঘুষ নেয়। চারিদিকে একবারে নোংরা আবর্জনায় ভর্তি তখন কথায় ছিলেন। আপনার কথা গুলো সিনেমা তে ভালো চলবে, এসি ঘরে ইন্টারভিউ হলে চলবে।। 😂😭😭😭",HOF
762,এই মহামূল্য মন্তব্য গুলি এখানে না বলে কাজে করে দেখান। দেখিয়ে দিন ওদেরকে যারা আমাদের জন্য ওরা এই গদিতে বসেছে। আমরা চাইলে ওদেরকে ছুড়ে ফেলে দিতে পারি ওই আসন থেকে। এই দুর্নীতিবাজ সরকারকে উৎখাত করুন। নিজেদের সন্তানদের ভবিষ্যতকে সুন্দর করুন এবং নিজেরা সুস্থ থাকুন।,NOT
763,এই সাংবাদিক এর উপর ইসলাম অবমাননার মামলা করা উচিত,NOT
764,"বুড়ি, বুরিদের এসব দেখা মানে সময় নষ্ট করা",NOT
765,মাখা কাকার বাজার ফাঁকা,NOT
766,এদের কথা আর sunte ভালো লাগে না. দিদি মনে হয়. Increment করলো. তাই আবার গর্ত থেকে বেরিয়েছে,HOF
767,শুধু মাত্র মিয়া খলিফার এই আন্দোলনে যোগ দেওয়া বাকি রয়েছে,HOF
768,তোমাদের মত মেয়েরা জামা কাপড়ের মত হাসবেন্ড বদল করছো এখন কি মদনকে বিয়ে করার জন্য পরে কল্পনা করছো বৈশাখী,HOF
769,নতুন ডায়লগের ফিল্মের গুঞ্জন চলিতেছে সুপার ডুপার হিট হবে 🤪🤪🤪🤪🤪,NOT
770,"পুরোটা শুনলাম, আপনাকে খুব সস্তা একটা মানুষ ভাবতাম,  ভুল ভাঙলো, তবে রবীন্দ্রনাথকে নিয়ে যা বলেছেন সেটা নিতে পারছিনা 🙏🙏",NOT
771,আজিই আমি গলায় দড়ি দেবো সামনে আর কোনো পথ খোলা নেই,NOT
772,প্রচুর পয়সা করে ফেলেছে। এবার ফুর্তি করে উড়ে বেড়াবে। তবে শীঘ্রই কাননের কপাল পুড়বে। যেটাকে ঘরে ঢোকালো!,HOF
773,একদমই সঠিক কাজ করেছেন এলাকাবাসী। এভাবেই এলাকার মানুষ সবকিছুর উর্ধে উঠে.. নিজেদের ভালো ও মন্দের দায়িত্ব কাঁধে তুলে নেবেন..তখন সত্যিই এলাকায় অনেক কিছু ভালো হবেই হবে।।।।।।।,NOT
774,"এই মেয়েকে কঠিন শাস্তি দেওয়া হোক,,,হে হিন্দু রাষ্ট্র তে থেকে,,, কি ভাবে এই সব কথা বলার সাহস পায়,,,,,কঠিন শাস্তি চাই,, 🤬",HOF
775,এই শিক্ষাটা উনি বাম আমল থেকেই পেয়েছেন। পার্টি করলেই চাকরি পাবে।,NOT
776,"বোন, খুব সহজ সরল মনের । তবে এই কথাটা বলার জন্য বোনের ওপর ঝড় ঝাপটা আসতে পারে । এইভাবে ই এগিয়ে চলো বোন ।কখনো নিজের গতি পথ হারিয়ে ফেলো না। অনেক অনেক শুভেচ্ছা ও অভিনন্দন ।",NOT
777,কি আনন্দ উফফফ,NOT
778,বৈশাখী এবার থেকে কি 2 জোনকেই রাখবে নাকি,HOF
779,বাহ বাহ বাহ বেশ ভালই জমেছে nice 👌,NOT
780,শিক্ষাটাকে ভোগে পাঠিয়ে দিয়েছে,NOT
781,মুখ্যমন্ত্রী কি মতুয়া সমাজকে যোগ্য সন্মান দিচ্ছে..?আপনাদের আবেগ নিয়ে তিনি খেলা করেন নি নাকি ওনার কাছে অভিযোগ করার ভিত্তিহীন।,NOT
782,আপনার বাপ আপনার জন্য কোটা তৈরি করে রেখে গিয়েছেন ।,HOF
783,"শিক্ষার মেরে দিয়েছে এরা ,,,,,,,,,,,।।।।",HOF
784,ক্লাস ওয়ান। শোভন তো চরিত্রে মদন মিত্রর প্রিয় শিষ্য ।,NOT
785,"যেমন মা বাবা তেমন সন্তান, হিন্দুরা খেঁপে গেলে এদের অস্তিত্ব পাওয়া যাবে না 😡 Joy shree ram 🙏",HOF
786,কিছুদিন পর নিজের বউ কে বলবে ওটা আমার বউ না বোন .,NOT
787,"এমন বাবা-মেয়ের সম্পর্ক যেন আর কারও না হয়। কোন বাবা তার প্রাপ্তবয়স্ক মেয়ের সাথে ঐভাবে ছবি তোলে? যা রটে, তা কিছুতো বটে। আর উনি তো প্রিন্সিপাল নন, খাতায়-কলমে Officer-in-charge.",HOF
788,তোরা কবে মানুষ হইবি?,NOT
789,মদন কেউ লাইন মেরে বিয়ে করে ফেল,HOF
790,ড্রেনের জলে ই তৃণমূলের জন্ম।,HOF
791,"এসব কথা বলতে নেই, তাহলে লোকে আপনাকে বো,,,,,,,,দা বলবে।",HOF
792,কতো ভালো ভালো মানুষ চলে যাচ্ছে এরা কেনো যায়না।সমাজের বিষ,HOF
793,ওই ইউটিউবার মাল গুলো রানুমন্ডল এর কাছেও গিয়ে নেচে এসেছে,HOF
794,জীবন চলে গেলে আর পাওয়া যায় না নেমে আয় ওকে একটা ললিপপ দেওয়া হোক,NOT
795,Dada তালে যাদের চাকরি দেবেন তাদের কেই ভোট দিতে বলবেন।জিতাতেন আমদের দরজায় ভিক্ষা চাইতে আসেন,NOT
796,এর ও তিহার যাওয়ার সময় হয়ে এসেছে,NOT
797,আপনার শিক্ষামন্ত্রী হওয়ার যোগ্যতা নেই।,HOF
798,সকাল বেলা ায় ফেসবুক খুলে আমাদের ছবি দেখতে হবে,NOT
799,কাশ্মীর ফাইলের বিবেক অগ্নিহোত্রী কেও পাওয়া যাচ্ছে না ।,NOT
800,আমার কমেন্টে এসে তুই খেঁচেছিস আবার আমাকে বলছিস 😝😝 খেচানী 😜,NOT
801,"আইসিস কে নিয়ে আমার মাথাব‍্যাথা নাই, কিন্তু পুরো মুসলিম জাতিকে দোষারোপ করা এইটা মানিনা! ছবি নিয়েও মাথা ব‍্যাথা এসব দুপয়সার ছবি অনটাইম বানানো যায়! যদি আইসিস সত্যি এমন অপকর্মে যুক্ত থাকে তাদেরকে অবশ্যই শাস্তি পেতে হবে!",NOT
802,"মিথ্যা পরিচয় দিয়ে সম্পর্ক, ধরা পড়ে খুন, দিল্লির ঘটনা",NOT
803,বোকা...... এতদিন পরে খোলস ছেড়ে বেরিয়েছে?,HOF
804,মাসীমা নির্লজ্জতার সব সীমা অতিক্রম করে গেছে।,NOT
805,অধিকার বুঝে নিতে সিপিএম শিখিয়ে ছিলো।।।বামফ্রন্ট ছাড়া গতি নেই।।।,NOT
806,এদের থেকে মানুষের ভালো কিছু সেখার নেই ।এরা নোংরা,HOF
807,"কঙ্গনা রানাউত টাইমস নাও চ্যানেলে বসে নভিকা কুমার(সিনিয়র দালাল - অ্যাংকর) পদ্মশ্রী উপলক্ষ্যে (১১/১১/২০২১)আমাদের স্বাধীনতা সম্পর্কে #ভিক্ষা করে স্বাধীনতা পাওয়া# এবং ২০১৪ সালে আসল স্বাধীনতা পেয়েছি # বলে উল্লেখ্য করে - শহীদদের প্রতি অসম্মান করেছেন,তৎসহ আপামোর জনসাধারণের (অন্ধ এবং নাথুরাম গডসে ভক্ত ব্যতীত) ভাবাবেগে আঘাত করলো। নরেন্দ্র মোদী এবং অমিত শা চুপ করে আছেন - উক্ত দুজনের বিরুদ্ধে রাষ্ট্র বিরোধী এবং দেশদ্রোহী বক্তব্যের এবং সমর্থনের জন্য UAPA ধারায় গ্রেফতার করছেন না কেন? অথচ এই সময় দালাল কর্পোরেট মিডিয়ার কনটেন্ট এবং উপস্থিত অপর্ণা সেন বক্তব্য রাখছেন - পরিস্থিতির অভিমুখ ঘুরিয়ে দিতে। আমাদের রাজ্যের মুখ্য রাজনৈতিক দল সহ সচেতন(অন্ধ এবং নাথুরাম গডসে ভক্ত ব্যতীত) জনগণ স্বাধীনতা এবং শহীদ ও স্বাধীনতা সংগ্রামীদের সম্পর্কে দেশবিরোধী এবং রাষ্ট্র বিরোধী বক্তব্য শুনে চুপ কেন? দালাল/গদি/চাটুকারিতা ইলেকট্রনিক্স/প্রিন্ট মিডিয়া নীরব থাকবে খুব স্বাভাবিক ব্যাপার - তাই বলে আমজনতা(অন্ধ এবং নাথুরাম গডসে ভক্ত ব্যতীত) নীরব থাকবে?",HOF
808,"সত্যিই বাড়বাড়ির চূড়ান্ত হচ্ছে।এখন ফেসবুক খুললেই প্রতিদিনই এই মাখামাখির ভিডিও এসেই যায়।এইসব দোকানের ক্রেতা সব সময়ই স্থানীয় লোকজনই হয়।কোলকাতা বা দূর শহরের লোক হুজুগে পড়ে এক আধদিন আসবে চলে যাবে তাই ইউটিউবে 'ভাইরাল' হলেও এদের ব্যবসার কিছুই লাভ হয় না বরং ভাটের ইউটিউব মিডিয়ার লোকজন লেবু কচলে তিতো করছে।আর প্রসঙ্গত কাঁচা সবজি,ম্যাগি ইত্যাদি মাখা?আমাকে বোধহয় লাখ টাকা দিলেও আমি এসব খেতাম না।আম,বাদাম,মুড়ি,শশা,পেয়ারা এইসব ঠিক আছে।কিন্তু উনিও তো আর কাউকে জোর করে খাওয়াচ্ছেন না,যারা স্বেচ্ছায় চেয়েছেন,উনি দিচ্ছেন।তাই সে নিয়েও বলার কিছুই নেই।লোকটা যদি সত্যিই এতোটা বিরক্ত হন,তাহলে এসব বন্ধ করা দরকার।হয়তো গরীব মানুষ কিছুটা বাড়তি আর্থিক লাভের প্রত্যাশায় এক সময় নিজেও 'ভাইরাল' হতে চেয়েছিলেন।সেটা অন্যায় না,আমরা ক'জন ই বা প্রচার চাই না!কিন্তু মানুষটাকে সুস্থভাবে ব্যবসা করতে দেওয়া প্রয়োজন। তাঁর পরিবারকে অন্ন তাঁকেই জোগাতে হবে,আমরা কেউ দেবো না।",NOT
809,দুটো বানর একটা বানুরি নাচ দেখাচ্ছে,HOF
810,ফালতু নিউজ। অানফলো করলাম।,NOT
811,সত্যি বলতে আমি প্রথম প্রথম সাপোর্ট করছিলাম কিন্ত পরে যখন এদের সাথে রাকেশ টিকেল কে দেখলাম তখন থেকে শংসয় যে এটা কৃষি বিল বা শাহীন বাগের মতো চক্রান্ত না তো,NOT
812,যেন বাপের চাকরি,HOF
813,"চীন কে এক ইঞ্চিও জমি ছাড়া হবে না, তার বেশি ছাড়া হবে।",NOT
814,"বুঝতে পারছিনা, যে কেরালা স্টোরি দেখলে বোধ হয় বিপ্লবী হতে হয়। হলে গিয়ে নিজের ইচ্ছেমত কোনো ছবি দেখতে গেলে কি নিজেকে সমাজ সংস্কারক হতে হবে?",NOT
815,"কেন বোন তোর নিজের বাবা, বাবা বলে ডাকতে দেয় না 😪🤧",NOT
816,ইনি আবার শিক্ষিকা। নির্লজ্জ বেহায়া ।,HOF
817,"যে কুস্তি করবে আশা করি তার শরীরে অনেক শক্তি থাকবে সাধারণ মানুষের থেকে,তো প্রশ্ন এটাই যে যখন ওই কুস্তিগীর কে sexually ভাবে assult করা হয়েছিলো তখন সে কোনোকিছু প্রতিবাদ বা আঘাত করলো না কেনো?",NOT
818,নোংরামি হচ্ছে ওনাকে নিয়ে। প্রশাসন এবং আইনের কাছে জানাচ্ছি ওনাকে মানসিক নির্যাতন করলে যেন অবিলম্বে গ্রেফতার করা হয় তাঁদের।,NOT
819,"বুড়িটা আবার মোটা ভাতা পেয়েছে, তাই একটু নাটক করছে🤣🤣🤣",HOF
820,"ABP Ananda মানেই দেশের শেষের খবর 😁😁😁, শালারা কিভাবে TRP বাড়ানোর লক্ষ্যে দেশকে শেষ করে দিচ্ছে।",NOT
821,এতদিন পরে ঘুম ভেঙেছে আপনাকে তো দুর্গাপূজার সময় দেখা কোনো বলতে শোনা যায়নি,NOT
822,দেবাংশুর হতাশ হবার যথেষ্ট কারণ আছে!,NOT
823,যে ভাবেই হোক উনার বারাসাত যাওয়াটা আটকান ওখানে গেলে যে উনি কি বিসনেস আইডিয়া দেবেন...,NOT
824,কত টাকা নিয়েছেন BSF এর বিরুদ্ধে বলার জন্য । আপনারা দেশের জন্য কি করেছেন বা বাংলার জন্য । দুই হাত ভরে টাকা কামানোর রাস্তা করেনিছেন বুদ্ধিজীবী সেজে । আপনাদের চরিত্র গুলো মানুষ বুঝতে পেরেছে ।,HOF
825,লাগাও  জাপানি সায়নী - দেখ কেমন লাগে এবার 😂😂,HOF
826,গবেট । নাটক করগা যা !,HOF
827,দিন দিন যাহ ইচ্ছে তাই হয়ে যাচ্ছে🥴 এরা বাবা মেয়ে🧐,NOT
828,হ্যাঁ তাদেরই দেবেন সিপিএম দিয়েছে আপনি দেবেন তাহলে আর এইসব স্কুল সার্ভিস কমিশন SSC রেখে লাভ কি তুলে দিন সব....স্লোগান রাখুন পড়াশুনা ছাড়ো আর পার্টি কর....,NOT
829,এরা বিব্ধজন....???? নেরী কুকুরের থেকেও এরা অনেক নিচে....,HOF
830,ভাইরাল হবার শখ মিটে গেছে জীবনের মতো,NOT
831,টাকা কে invest করছে এর পেছনে?,NOT
832,অশিক্ষিত ও দুর্নীতিবাজ শিক্ষামন্ত্রী আপনার এতটুকু শিক্ষা সংস্কৃতি থাকলে প্রকাশ্যে দলের কর্মীকে চাকুরী দেবার কথা বলতেন না। ভূলে যাবেন না আপনি সকলের মন্ত্রী শুধু দলের কর্মীদের নয়।,HOF
833,সমাজের এই নোংরা মানুষগুলোর নোংরামোর মুহূর্ত তুলেধরার জন্য এ বি পি আনন্দকে ধন্যবাদ।,NOT
834,পড়াশুনার দরকার নেই। দেওয়াল লিখলেই চাকরি। মূর্খ কোথাকার। এটাই তোদের শেষ টার্ম। এর পর রাস্তায় দাড়িয়ে রাস্তা ঝার দিস।,HOF
835,মিডিয়া কে আমাদের দেশের চতুর্থ স্তম্ভ বলা হয় কিন্তু এদের যা রুচি এর পর এই দাবি করে মানে নিজেদের গালে ঠাটিয়ে চড়।। সুমন দে নাকি এর এডিটর ইন চিফ!!!,HOF
836,সবার পেমেন্ট ঢুকেছে।,NOT
837,"এইগুলোকে ধরে ধরে কাপড় খুলে ,, বিছুটি পাতা ঘষে দিতে হয়,, তাহলে ডান্স টা আরেকটু ঘ্যামা হবে,,,,,",HOF
838,এই ডাকাডাকি সার আসলে কিহবে তদন্ত করতে হলে আরো অনেক দপ্তর আছে সি এম এর হাতে এত টাকার পাহাড় কি শুধু শিক্ষা দপ্তরে যদিও কোন শিক্ষক কত টাকা দিয়েছে প্রমাণ হয়নি দেখা যাক শেষটা কি হয় ।,NOT
839,দুজনেই জেলখাটা আসামী😊মদন-শোভনদা..পরের পুজোয় এদের সাথে পার্থ অর্পিতা জয়েন করবে।এবিপি আমাদের কাছে সেই আড্ডাটা পরিবেশন করবে আমি নিশ্চিত।অপেক্ষায় রইলাম 😊,HOF
840,ওহে শুদন মদনার কিন্তূ বাজে দিকে নর,NOT
841,মমতা ব্যানার্জি একজন পলিটিকাল লোক নয় তিনি একজন মিষ্টির দোকানের ব্যবসায়ী চায়ের দোকানের ব্যবসায়ী ঘুগনি দোকানের ব্যবসায়ী বিশ্বাস করার তার মধ্যে ট্রেন আছে তাই আপনাদেরকে রামধারা বলে যাচ্ছি আপনারা করুন চুপচাপ হয়ে থাকুন,NOT
842,অশিক্ষিত শিক্ষা মন্ত্রী।😀😁,HOF
843,পরজীবী বুদ্ধিজীবী এরা দেশ সমাজের কথা ভালো বুঝতে পারে কে বলেছে । এরা কি দেশের সুরক্ষা বিশারদ । ভামপন্থা চিন্তা ধারার লোকেরা দেশের সুরক্ষা ভালো চোখে নিতে পারে না। দেশের সুরক্ষার সাথে বি এস এফ এর ক্ষমতা বৃদ্ধি ঐতিহাসিক সিদ্ধান্ত।পরজীবী বুদ্ধিজীবী বি এস এফ বিরোধী রাজ‍্য সরকারের পাশে থাকলে রাজ‍্যবাসী দেশবাসী বি এস এফের পাশে থাকবে।,HOF
844,এত গালাগালি দিতে ইচ্ছে করে কিন্তু একাউন্ট রেস্ট্রিকশন খেয়েছি বলে দিতে পারছি না আবার খাবো তাহলে খুব কষ্ট হচ্ছে গালাগালি না দিতে পেরে এদের কে😢😢,NOT
845,বরঞ্চ চিনের সাথে না লেগে আফগানিস্তান আর পাকিস্তান ওদের সাথে যুদ্ধ করেন এইটা ভালো হবে,NOT
846,জি বাংলার রান্নাঘরে নতুন Host পিসিকে দেখতে চাওয়ার কঠোরতম আবেদন জানাচ্ছি 😇 ওনার মুখেই এইসব মজাদার Item খেয়ে *উউউমমমমমম* শুনতে চাই 🤗😋,NOT
847,দুনিয়ার যত নোংরা মানুষ এক হয়েছে,HOF
848,জীবনে বাঁচতে হলে কতো শিল্প শিখতে তা ম্যাম এর কাছে শিখুন,NOT
849,কাট মনির টাকা বা সরদার টাকা হবে হয়তো কে জানে।,NOT
850,"ঋদ্ধ হলাম। সমৃদ্ধ হলাম প্রতিবারের মতোই😇 অনির্বাণ ভট্টাচার্য 🫡🙏 প্রশ্নবাণে জর্জরিত😁 করে এই গুণীজনকে জানার সুযোগ করে দেওয়ার জন্য, অর্ক দেব, আপনাকে ধন্যবাদ!😊😇🫡",NOT
851,এই মেয়ে টা মানুষিক ভাবে অসুস্থ্য না হলে একটা মুসলিম মেয়ে এরকম বলতে পারে না 😭 আমি নিজেও মুসলিম তাই বলে অন্য ধর্ম কে ছোট করিনা,HOF
852,"বাবাকে ও আজকাল চার ভাগে ভাগ করা যায়। যেমন: বড়ো, মেজো, সেজো,ছোটো😂😂।",NOT
853,পশ্চিমবঙ্গের সংস্কৃতিটা ধ্বংস করে দিয়ে যাচ্ছে সকলকে রাজনীতি থেকে বিদায় দেয়া দরকার অবিলম্বে এবং সাধারণ মানুষের এদের থেকে দূরে থাকা অবশ্যই দরকার এরা কালচার বহন করে,NOT
854,শোভন দা মদন দার চোখের নজর খুব খারাপ ভালো করে মালটাকে রাখবো,HOF
855,বর্তমানের সামাজিক অবক্ষয়ের জন্য মিডিয়া যে কি সাংঘাতিক পরিমাণে দায়ী তার প্রমাণ এই অনুষ্ঠান।সব ইতিহাসে লেখা থাকবে। আগামী প্রজন্ম মিডিয়ার এই সব নিম্মরুচির নিদর্শন কে ঘৃণার চোখে দেখবে।,NOT
856,পালিয়ে যাও ওয়েস্ট বেঙ্গল থেকে এখানে থাকলে কেউ পড়া শুনা করে বসে থাকবে কোনো কাজ পাবে না । এ্যাই সব মন্ত্রীরা যতদিন থাকবে ততদিন কোনো দিন কাজ পাবে না ।নাহলে এ্যাই সব মন্ত্রীকে বিদায় করো ঝাটা পিটা করে। নাহলে ওয়েস্ট বেঙ্গল এ্যাই ভাবে এগোবে । জয় বাংলা জয় তৃণমূল। জয় বাংলা। তৃণমূল সরকারকে আবার নিয়ে এসো ওয়েস্ট বেঙ্গল এ। এটা করার দরকার আছে ওয়েস্ট বেঙ্গলের মানুষদের। বাঙ্গালী রা যত বুদ্ধিমান তত ............। এগিয়ে যাও ওয়েস্ট বেঙ্গল এইভাবে এগিয়ে যাও।,HOF
857,কাকু.....সুস্থ হয়ে উঠো......মনের জোর বাড়াতে হবে.....,NOT
858,"এই ভিডিওর পিছনে এক হিন্দু ছেলে সংযুক্ত!! তার এবং এই মেয়েটির ব্লগ ভিডিওর মাধ্যমে ধর্মীয় বিষয় নিয়ে, একে অপরকে জবাব দেয়।।। বিচার হলে উভয়ের বিচার হউক।। মুসলিম বলে এর একার বিচার হবে, আর তার বিচার হবে না, এটাও মানা যায় না।।।",HOF
859,কোনভাবে একবার ধরে ফেলুন। তারপর টানা তিনদিন উদোম কেলানো হোক।,HOF
